,Brand,Headline,Review,Grade
26,Just Eat,Rude customer service.,"Okay long story short, last night i ordered online from pizza time's a menu pizza for 39euros. In this menu i had to choose 2 pizzas and a drink. I did choose my pizzas but i couldn't choose the drink as it was only a specific one. I got a message on my phone that the order would be here at a specific time. In the website it says 30 to 45mins and i got my food after more than an hour and it was cold plus with out my drink so i decided to call and let them know. As i did call, the woman on the phone was rude, didn't let me talk so i had to raise my voice a bit so she would stop talking. At the end she made it clear that it was my fault and that they take no responsibilities which is absolutely unprofessional and that made me not want to order from them again. So all i wanted to say in this message is that when i get this kind of behavior even if it was my fault (which it wasn't), i get so upset because this is not how it should work. Where is the respect to the customers? Politeness ZERO.PS: The delivery boy came back to bring me the drink and both ways he was absolutely kind and apologized more than 3 times and it wasn't really his fault.",1
27,Just Eat,The driver came 2 min before then the…,The driver came 2 min before then the internet track dont let me know then he call me do the time I reply He left and said will don't back I let the customer service know that and they just say sorry for that I loose 15£ and 1 hour for nothing.,1
28,Just Eat,Very fast and friendly service :)!,,5
29,Just Eat,j'ai commander beaucoup de chose j'ai…,j'ai commander beaucoup de chose j'ai reçu que l'hamburge pire fast food,1
30,Just Eat,"Bonsoir,","Bonsoir,Hamburger ok, bon. Portion raisonnable, ni trop peu ni trop ...Par contre les boissons je ne comprend pasCapri sun (menu enfant) made in Hollande Coca zéro ( en ayant commandé un coca light) made in Danemark",3
31,Just Eat,rapide bon quand on a pas envie de…,rapide bon quand on a pas envie de sortir pour manger dans un resto libanais,4
32,Just Eat,Paid extra for cheddar and American…,Paid extra for cheddar and American cheese slices and it came with NO cheese AT ALL,1
33,Just Eat,service parfait,,5
34,Just Eat,Unfortunately bad experience because of…,"Unfortunately bad experience because of the Delivery person. In what world when you order for delivery, do you get yelled at by the delivery person for not coming down to open the door for him so that he doesnt have to leave his bike unattended??..GET IT TOGETHEER, If I wanted pick up service i would have gone to the restaurant myself. Sauce for bobun and ravioli not included?",3
35,Just Eat,Super service,,5
36,Just Eat,Impeccable !,,5
37,Just Eat,Froid retard de 20 minutes,,1
38,Just Eat,Ignored order sometimes,"Not rare to have an ignored order. one hour later, I called them and they told me the restaurant can’t prepare your food we will cancel it bey!!!",2
39,Just Eat,Nickel quand on rentre en vrac du boulot,,5
40,Just Eat,very good,very good service,3
41,Just Eat,Very very good food,,5
42,Just Eat,good,very very good,4
43,Just Eat,impeccable,impeccable menu tres bon,5
44,Just Eat,Simple,"Simple , rapide , efficace",5
45,Just Eat,Application au top !!!,,5
46,Just Eat,Prompt & Trustworthy,"The platform is easy to order, fluid and the delivery is always prompt. A huge relief to the suburbs of Paris that doesn't have any other food aggregators.",5
47,Just Eat,top.,...................,5
48,Just Eat,Improvement required,"Website stated 45 - 60 minutes delivery time. Waited for over 90 minutes. The pizza was cold, Jalpenso and fries were soaked with condensation from the box. Thrown most of it away. Very disappointing.",1
49,Just Eat,Super restaurant Himalaya on est fans…,Super restaurant Himalaya on est fans et on commande beaucoup et trop souvent,5
50,Just Eat,Parfait,Parfait !!!!!!!,5
51,Just Eat,Delivered with 1hour delayed,,2
52,Just Eat,Site hyper utile,,5
53,Just Eat,Simple et efficace,Hmm simple a utilisé en la relation restaurant client est bien prise en charge,5
54,Just Eat,Very convenient app! :D,"So far, so good! Thanks for creating this very good app! :D",5
55,Just Eat,SImple et efficace,SImple et efficace ! Nickel !,5
56,Just Eat,Nice and fast,,4
57,Just Eat,Service parfait!!,,5
58,Just Eat,Perfecto !!!,Personnel tres aimable et tres pro.Service impeccable,5
59,Just Eat,Excellent 🖒,,5
60,Just Eat,This site is a cheating site,"This site is a cheating site！We made a order on line,but the livisaion was never coming！While the money was token by bank！",1
61,Just Eat,grand choix de restaurants,,5
62,Just Eat,R A DIRE !!!!!,,5
63,Just Eat,3 commandes 3 commandes reussies,,4
64,Just Eat,superb!!!!!!,,5
65,Just Eat,Excellent service,,5
66,Just Eat,Simple et efficace.,,5
67,Just Eat,Excellent site,,5
68,Just Eat,Fast and diversity point de vue …,Fast and diversity point de vue restaurants!! Perfect,5
69,Just Eat,Excellent,Simple rapide poli et efficace  bravi,5
70,Just Eat,Top et efficace !,,5
71,Just Eat,Bonne application et propose de bon …,Bonne application et propose de bon restaurants,5
72,Just Eat,impeccable,"bon, délais respecter nickel",4
73,Just Eat,Awful client service,Awful client service. Can't give me my money back for the order I haven't received. NOT RECOMEND,1
74,Just Eat,Excellent site,,5
75,Just Eat,Simple et rapide,"Simple, pratique et rapide.",5
76,Just Eat,nickel chrome,,5
77,Just Eat,bien,"bien, symple a ituliser",5
78,Just Eat,You need to include internation numbers,"We moved to France for a half a year and we wanted to make use of ALLO RESTO. We have used Just Eat in the UK and it works fine.Unfortunately, ALLO RESTO does not allow you to put in international numbers. Therefor, we cannot put in our own UK mobile numbers into the checkout page and so we have to hope the delivery people don't have any problems with our order because they won't be able to contact us.We've already lost one order and had no refund for it.",3
79,Just Eat,Tres bien,C est bon sa The best,5
80,Hello Fresh,Love the food,Love the food!  Like getting the right amount of ingredients - my refrigerator is not full of partially used containers like sour cream and cream cheese.,5
81,Hello Fresh,It's ok,"They've reduced the packaging and amount of waste ice packs.  Delivery is hit or miss, I've had late or missed deliveries the last few weeks straight.",3
82,Hello Fresh,Cancel and refund,Vance and refund!!!!!,1
83,Hello Fresh,The meals have all been really good,"The meals have all been really good, definitely had some issues with the packages though, missing items several times .. customer service did not want to issue credits until I was paying full price... I pushed back and was issued a credit.  Once I went to full price the meals are kind of pricey.",4
84,Hello Fresh,Worst delivery service ever,"Well let's see.  First, they cancelled my new service because the person at this address who died three years ago had used it and the address matched.  Then after nearly 45 minutes on chat, they reactivated my account with a shipping date of yesterday.  Today their website asked how I liked the recipes for the food that was delivered yesterday, that wasn't.  I waited 15 minutes for a chat agent to be told that there was an ""unspecified error"" with my order and they'd credit my account.  Which still doesn't get me my food.  If other family members didn't swear by this company I wouldn't be giving them a third chance.",1
85,Hello Fresh,Rubbish customer service. Not easy to cancel or change,"Used gousto for over a year now. Never had any problems. Swapped to tester hello fresh! Should have never done it!! Awful customer service.  Called up first thing after realising my cut of time for picking meals was for last night and they’ve picked me 3 meals me or my children won’t eat at all, I didn’t want to cancel my week just change the 3 meals. He asked me if I could give the food to someone else, like I can afforded as a single parent to just give my food away 🙃 I’m sure wanting to change my meals the day after the cut of date isn’t that difficult!!! I would understand if it was so close to my delivery day. Or at least cancel the box from coming to me so I could at least use the money to buy food this week that we WILL eat.  Cancelled my subscription straight away over the phone and won’t be using hello fresh again. Awful with helping I would understand if this was a repetitive problem but this was the FIRST time using this service and mistakes happen. Also with gousto they send reminder emails and notifications so it’s pretty hard to miss your cut of date! Hello fresh sends nothing. Not happy😤",1
86,Hello Fresh,Horrible I called to cancel the box…,Horrible I called to cancel the box before it had even shipped and they refused to cancel it still over a week and I have not received the box. 📦 I’ll never use it again,1
87,Hello Fresh,Fresh and delicious,Delicious meals!,5
88,Hello Fresh,I don't have to think about what to…,I don't have to think about what to make for dinner,5
89,Hello Fresh,They Don't Disclose Shipping,"They never disclosed full pricing towards shipping. I wasn't charged shipping initially, so when I noticed more money coming out than it should, I checked my invoices. When I saw that there was additional shipping added and tried to speak with a chat associate, I was basically told that I couldn't do math. They actually typed ""$6.99×2=$13.98"" which was referring to a meal option when my question was about the shipping price. So now I've been insulted and still didn't have the information I was looking for. I've also yet to be refunded for a canceled box. It's been an abysmal experience.",1
90,Hello Fresh,terrible customer service,"We have been continuously disappointed with items. You have not sent the breakfast items, offered me a refund but then took it away, not sent my free dessert, and removed my discount when you weren’t supposed to.",2
91,Hello Fresh,I forgot to review the menu so…,I forgot to review the menu so HelloFresh sent their selections and they were all tasty.,5
92,Hello Fresh,Veggies had gotten frozen in transit…,Veggies had gotten frozen in transit and were unusable.,3
93,Hello Fresh,Health,Fresh foods,5
94,Hello Fresh,Food is not healthy and is expensive…,Food is not healthy and is expensive for small program,2
95,Hello Fresh,They don't have a good variety of…,They don't have a good variety of products,3
96,Hello Fresh,I haven’t gotten my order,,1
97,Hello Fresh,Hello Fresh is great way to help me eat…,Hello Fresh is great way to help me eat better. All recipies have been easy and none was too involved. Great flavors too. I don't like to cook a lot so it's nice having leftovers. A meal for 2 people gives me 2 to 3 meals.,4
98,Hello Fresh,Easy to make,Easy to follow meals and they taste delicious.,5
99,Hello Fresh,We loved everything we had,We loved everything we had. Everything is on one package. I think it’s an amazing food delivery.,5
100,Hello Fresh,Always amazing,Always great easy to make delicious recipes and enough for my family,5
101,Hello Fresh,My wife thanked me!,"With my wife’s work schedule and my work from  home with a 7 month old baby, anything to make her life easier is what I did.Thank you!",5
102,Hello Fresh,Exceptional food,,5
103,Hello Fresh,Easy prep…great ingredients,,5
104,Hello Fresh,Untimely,"I understand the weather was a deterrent to deliver this week but my order from pickup to delivery was 57 hrs and 45 mins. Generally my order arrives between 6:30-7:00pm, too late to start cooking anything. I’ve reduced my meals to 3 and thinking changing my delivery date.",3
105,Hello Fresh,I lobe the recthough. The recipe and quality of food s and the quality of…,I lobe the recipes and the quality of the food delivered.  The delivery process is great as well but if you have problems with an order customer service leaves much to be desires and that is truly why I can't give them a 5 star rating. I have had to call several times and was disappointed each time. They offer false promises but Don ever resolve anything. So when it works it works well but remember it doesn't it's just a loss for that month. Stull netter for your time and money in the lo g run thiugh.,4
106,Hello Fresh,Consistent!!!,The company delivers what it says it is going to deliver.  The product is extremely fresh and very good…consistently.,5
107,Hello Fresh,Great experience,On time delivery; Fresh ingredients; Easy step by step instructions; delicious meals.,5
108,Hello Fresh,Makes life easier!,"The recipes are always delicious and the customer service is great! Our box was delayed and they comped it. Great food, great service! I look forward to making our meals each week, which is new for me as I typically don't enjoy cooking. It makes my life easier and allows me to maintain a healthy diet with a 1.5 year old and a busy schedule!",5
109,Hello Fresh,Definitely Worth a try!,"I think the whole concept is amazing. It helps so much by saving me time, and less aggravation than going food shopping. You Have large variety of meal options.  Some of the meals are a little too expensive but there are cheaper options just as delicious. The only thing I don't like for me is you have to pay week to week. I wish there was a monthly payment option. Otherwise than that I am loving it!",5
110,Hello Fresh,We love hellofresh,"We love hellofresh, always excited to get our meals! Just wish there was more seasoning used at times.",4
111,Hello Fresh,Very good recipes to make,"Very good recipes to make , they are easy and fast to make even when you don’t think they’re gonna be good they’re really good.Must try",5
112,Hello Fresh,I have been missing parts of my meals,"I have been missing parts of my meals, especially the main course, BEEF TENDERLOIN, and have had to spend almost an hour to get credit for that meal and than I have had so spend almost another hour trying to get credit for offers your company offered.  I'm getting tired of these problems and if it happens again, I will no longer be ordering meals from your company.",2
113,Hello Fresh,I have unsuccessfully tried to…,I have unsuccessfully tried to canceling this order. My food is delivered at an inconvenient time and is completely thawed when I arrive home.  Please cancel this account!,1
114,Hello Fresh,Still hasn’t arrived.,,1
115,Hello Fresh,Pretty good service with some flaws,"The food is good. The delivery method is good because all food is still cold when it arrives. I would suggest an option where we send the ice packs back for a delivery discount or something.  It's such a waste to throw them away and a family can only use so many ice packs. Also, the price isn't terrible but they need to do better with maintaining discount codes and pricing. I've had many deliveries come at different prices. It's frustrating. Every now and then an item will be missing from the packages, usually not a big deal but can be inconvenient. It's happened to my family more than 5 times out of 19 boxes. At least 3 of our boxes had rotten veggies in it too. In general, the service is good. There are just a few kinks to work out to get closer to perfect.",4
116,Hello Fresh,Food is always great and fresh,Food is always great and fresh. Delivered on time.,5
117,Hello Fresh,The ordering was easy,The ordering was easy. The recipes are absolutely delicious. They were easy to make and the portions were just enough. I also get to taste meals I otherwise may have never tried.,5
118,Hello Fresh,Waiting on my delivery to…,Waiting on my delivery to arrivein2'more days Will purchase more items in near future.Carol Winston,5
119,Hello Fresh,This service is perfect,This service is perfect. I don’t have a lot of time to decide what’s for dinner and it’s great to have delicious meals ready to be made on hand. It also helps with our portion control. Love this!!!,5
120,Hello Fresh,We didn’t get our order this week,We didn’t get our order this week. There have been some missing items in the past,3
121,Hello Fresh,The food is fresh and tastes great,The food is fresh and tastes great. It’s easy to follow the directions and create tastey food.,3
122,Hello Fresh,Good variety but several times the green vegetables were…,"Several times the green vegetables were spoiled. Good variety and we liked most of the meals. For 2 people and unprepared food, value is good.",4
123,Hello Fresh,Almost everything you need is included…,Almost everything you need is included except butter and sugar.  We go to our cabin and this is perfect because I know I have everything I needl,5
124,Hello Fresh,The recipes themselves are delicious…,The recipes themselves are delicious but the portions are sometimes ridiculously small and far below what is advertised. For example I ordered a meal that stated it included 10 oz of pork but when I measured the pork itself on a scale without the plastic it only weighed barely 7oz. Also the ingredients sometimes will not even last a week before they start looking bad.,2
125,Hello Fresh,The recipes are simple and delicious,The recipes are simple and delicious.  It gives me the opportunity to try new things without spending a lot of money.,5
126,Hello Fresh,I thought I skipped this week but I…,I thought I skipped this week but I guess I didn’t…. I didn’t choose these meals and they were mediocre at best,3
127,Hello Fresh,Delicious recipes,Everything that my husband and I ordered had been delicious. We are very happy with the service.,5
128,Hello Fresh,Great Experience,"A great majority of the dinners have been extremely good, along with the easy to follow directions and the food coming packed together makes fixing dinner extremely easy.",4
129,Hello Fresh,It's impossible to contact them,"It's impossible to contact them, I am trying to cancel my deliveries thru March 11th and after 6 tries it still hasn't happened. I can't get a return phone call.Also much of their food is mediocre",2
130,Hello Fresh,Fresh and delicious!,Food was super fresh and delicious recipes!,5
131,Hello Fresh,I was charged with $55.97 for six days…,I was charged with $55.97 for six days of meals.  I have now been charged with $120.97 which I did not signed up for.Please return my $120.97 which I never received any additional meals.  I feel like you have scammed me.,1
132,Hello Fresh,I enjoy it!,They have great recipes and flexible delivery scheduling! I feel like I’m learning more about cooking as well.,5
133,Hello Fresh,If I could give zero I would,If I could give zero I would. Customer service policies are not helpful to customer and useless.,1
134,Hello Fresh,The meals are always delicious and easy…,The meals are always delicious and easy to cook. I’ve introduced my husband to new flavors and he is on board with trying them all.,5
135,Hello Fresh,It was on time packed well fresh &…,It was on time packed well fresh & delicious,5
136,Hello Fresh,Beware of promotions!!!,,1
137,Hello Fresh,Great meals and easy recipe's to follow.,,5
138,Hello Fresh,It is great!!,"It is great, and I love to cook like this!!",5
139,Hello Fresh,Great Recipes,Great Recipes! Just have to continuously threaten to cancel to get a decent value,5
140,Hello Fresh,Food is delicious and customer service…,Food is delicious and customer service has been top notch whenever I have had to call regarding changing my date of delivery or if there was a missing ingredient.  I have used Hello Fresh for a couple of years now and have been consistently pleased.,5
141,Hello Fresh,Very upset with this company,Very upset with this company. I was a first time customer using a promo that was mailed to me for 16 meals free for my first time using. I order the first box (3 meals) for $15 dollars. Still wasn't %100 percent free but I still thought it was a great deal. Then the next week I looked at my bank statement and was charged $60 dollars for another 3 meals. I called to figure out why the price had been raised so much since I had only ordered 3 meals so far and I was supposed to get 16 for free and all they told me was that I should have read the fine print and that they would not reimburse me for the second box. They have terrible customer service and are very sneaky with their advertisements. I will never be using this service again and would not recommend to anyone solely based off of their sneakiness.,1
142,Hello Fresh,Avoiding Decision Fatigue,I love the convenience of not having to decide what to make each night and having to plan for ingredients. Packages arrive on time and packaged for quality.,5
143,Hello Fresh,Good selection of tasty meals that are…,Good selection of tasty meals that are easy to prepare.  The only drawback is the high shipping costs.,4
144,Hello Fresh,We have had missing ingredients missing…,We have had missing ingredients missing recipe cards and tomato’s that were not ripe and a cucumber that was going bad,3
145,Hello Fresh,It's OK for the most part the last few…,"It's OK for the most part the last few months have not been grate opend Meat all over everything, and now it's having delivery problems. So it's OK I think we might stop it soon. The foods good it's just quality control. Like open meat two weeks In a row and the box was fine.",2
146,Hello Fresh,I like having a variety so that I'm not…,I like having a variety so that I'm not eating the same things every week. I like getting all the different options and the flexibility of buying more or less depending on my needs. The recipes and food is amazing.,5
147,Hello Fresh,Not very fresh!,,3
148,Hello Fresh,Prices go up check your purchase history,It seems I’m supposed to get free breakfast for life yet I’m still paying for it and shipping on top of that I would definitely keep an eye on you’re purchase history,2
149,Hello Fresh,My box was delivered to the wrong unit…,"My box was delivered to the wrong unit and I never received it.  Had no idea it had been delivered because my phone doesn't receive the ""SMS"" messages that the delivery company uses.",1
150,Hello Fresh,Delicious,"Easy, tasty sometimes challenging",4
151,Hello Fresh,It was all great,,5
152,Hello Fresh,They quickly correct any shipping issues,,5
153,Hello Fresh,HelloFresh is thee best meal delivery service!,"The many options for meals weekly is amazing, Customizable proteins, additional sides, etc. Delivery time windows and instructions. Ingredients are some of the best I've ever had in my life.",5
154,Hello Fresh,When reinstating my membership I was…,When reinstating my membership I was told I will a free breakfast. I didn’t get a breakfast when updating next order I am being charged for breakfast,3
155,Hello Fresh,Customer Service means a lot,"I spoke to two reps yesterday and first rep was AWFUL. He didn’t even try to help resolve my situation. So, I cancelled. Your food is GREAT but I can’t pay for a subscription with awful customer service.The second representative gets A++++ for their customer service.",3
156,Hello Fresh,We have enjoyed pretty much all our…,We have enjoyed pretty much all our meals.,4
157,Hello Fresh,Amazing meal selection and great price,,5
158,Hello Fresh,great all around,"great customer service teamexcellent meal choicesfresh foodbeen using for years, love them!",5
159,Hello Fresh,Dam good meals and fresh.,,5
160,Hello Fresh,It’s All Good!,"It’s so nice to be able to choose different meals to look forward to and then have the ability to easily make changes ahead of time or add a salad, garlic bread or dessert to a meal if I want.  There's an excellent variety of meals, something for everyone. Every meal we’ve had has been delicious.",5
161,Hello Fresh,The food is always fresh and delicious,The food is always fresh and delicious. Recipes are well written and easy to follow.  My daughter plans to be a chef and enjoys making these various menus and trying new flavors and seasonings.,5
162,Hello Fresh,Great service,Makes having to cook a little less stressful and a little more fun.,5
163,Hello Fresh,Shipments often at least a day behind,Shipments often at least a day behind.  Had wrong ingredients.  Takes a lot more time to prepare than indicated.  Pricey.,3
164,Hello Fresh,Numerous complications with order and…,"Numerous complications with order and fulfillment, had delayed my order, and still got it, then they items weren’t even what I had ordered! I got food I didn’t even want! And again you have a box set for me that is going to be food that I don’t even want.",1
165,Hello Fresh,Most of the meals were pretty good and…,Most of the meals were pretty good and things I would make again. It was a bummer when the ingredients came and were not usable but luckily I usually had the same thing at my house that I could swap out. I think the biggest issue is that they discount your first however many boxes and its so many that you get used to paying that price then when you see the price go up you think hmm is it really worth it at this point. I think it would make more sense to do like one or two free boxes then take you to full price so its not so much of a shock after getting so many discounted boxes.,4
166,Hello Fresh,STOP MY ORDERS HAVE ASKED AND YOU…,STOP MY ORDERS HAVE AQSKED AND YOU STILL SEND,1
167,Hello Fresh,I don’t have any menus,,3
168,Hello Fresh,"Great food, fun to cook.","We’ve had nothing but delicious meals, the pricing is fair (when compared to the grocery store). Overall I definitely recommend this for couples who want to diversify their diet a bit.",5
169,Hello Fresh,Customer Service,I’ve always had amazing interactions with customer service and they always make sure I’m taken care of!,5
170,Hello Fresh,Tasty meals that make cooking fun,"Love the fresh ingredients for the meals which include great spices that give all the meals great flavor, many choices available for meals that make cooking fun,and delivery is always on time",5
171,Hello Fresh,Food tastes good.,,5
172,Hello Fresh,Overall Great Experience!,"Love the recipes and how easy the instructions are to follow. Dinner is always on the table in a reasonable amount of time too. My only ""complaint"" is that I wish I could sub out some of the sides easier. For example, switching green beans for asparagus as a side.",4
173,Hello Fresh,Meals were well thought out and seemed…,Meals were well thought out and seemed to be verygood quality. I would suggest better communication in billing. i would prefer to be well informed of the amount i will be paying each week and why prior to the money being automatically charged! I absolutely believe each order i make should give me the full overall price prior to shipment,4
174,Hello Fresh,"Very happy, but would love to see more filters in selections",Overall very satisfied with this program. My only wish is for the selections and settings for meal selections were able to be more filtered based on dietary restrictions and allergies.,4
175,Hello Fresh,The whole package,"Convenience, no waste, short prep/cooking time, good and fresh flavor, something new and all at a fairly reasonable price.",5
176,Hello Fresh,Everything has been tasty,"Everything has been tasty! If there's ever an issue, they fix it. Highly recommend.",5
177,Hello Fresh,Blue apron has better customer service,"Sent me a ton of emails that said my second box was coming when the first didnt arrive. Then said i had to change my credit card on file and deliveries wouldnt resume until i did. I decided not to, it continues to not ship. On 12.14 they emails me a heads up that my “second” box was going to be delivered today but it was full of foods i cant eat. How would i know that though since i never for my first or second boxes. I canceled the second hotel",1
178,Hello Fresh,So easy & convienent,"With the price of groceries, hello fresh is very comparable to make great easy meals!",5
179,Hello Fresh,perfect for family’s that want new meals,Great easy to make and family enjoys. What else can I say,5
180,Hello Fresh,I’m try to go out,"I’m try to go out I’m not happy do you charge diferent amount always up! Food arrive is always same clase of meat, veggies and ingredients I’m try to comunícate with somebody nobody answer",1
181,Hello Fresh,All fresh ingredients and easy to…,All fresh ingredients and easy to follow instructions.,5
182,Hello Fresh,Product were not “fresh” I tried to…,Product were not “fresh” I tried to come back but was disappointed!,1
183,Hello Fresh,Quality and Value not worth it,"Meals are repetitive or very similar. Since I used this service a few years ago, prices have gone up a lot and quality of ingredients/size of proportions have gone down. I don't feel like I'm getting the value that I expected. When something goes wrong I'm offered a credit that can't be used until I have a non-discounted box. That means it will sit out there for weeks sometimes. It's extremely frustrating. A credit should be applied to the NEXT BOX. It's also never clear when my ""rewards"" are being used. Invoices aren't available until a few days after the box ships.",2
184,Hello Fresh,Customer service is great,"Customer service is great! However, I wish I had not had to contact them so many times about missing items or bad produce. Additionally, I get too many emails but not an email letting me know the cutoff to change meals and then get a meal I don't want.  I never order pork or beef but always receive suggested meals with those two ingredients. I intend to cancel after my after I receive all my credits. UPDATE: As expected, great customer service after I created the requested review.  They have refunded my credits.  Thank you",2
