,Brand,Headline,Review_not_corrected,Grade,Review
10,Just Eat,I used to order a lot through JustEat…,"I used to order a lot through JustEat but from now on I believe I won't order with them anymore. 1- their ""tracking"" app is absolutely useless because it gives you an approximate time of preparation for your order. It happens MORE AND MORE that it says ""your order will be there in 39mins"" and in the end I have to wait 1:30 to 2:30 to get my order.2- when there's a problem you can contact them as much as you want, you won't have any answer. Especially if they know that you will ask for a refund. Which is VERY PROBLEMATIC when an item is missing in your order. I had tons of other problems with them, little ones at the beginning, then it happened more frequently and now it's always the case and NONE OF THEM were ever taken. Tonight I ordered at 6:30 and received my order at 20:30....",1,"I used to order a lot through JustEat but from now on I believe I won't order with them anymore. 1- their ""cracking"" pp is absolutely useless because it gives you an approximate time of preparation for your order. It happens MORE AND MORE that it says ""your order will be there in 39mins"" and in the end I have to wait 1:30 to 2:30 to get my order.2- when there's a problem you can contact them as much as you want, you won't have any answer. Especially if they know that you will ask for a refund. Which is VERY PROBLEMATIC when an item is missing in your order. I had tons of other problems with them, little ones at the beginning, then it happened more frequently and now it's always the case and NONE of THEM were ever taken. Tonight I ordered at 6:30 and received my order at 20:30...."
11,Just Eat,What a f****** crap company,"What a f****** crap company! I ordered food in Montpellier and I was waiting downstairs for the delivery guy. Saw some people riding on their bikes but had no idea one of them had my order (I cannot know that). Saw the guy on the tracker waiting 2 blocks away no movement on the tracker. After some time I recieved a mail that the guy was at my door and would wait 5 more minutes and then he would drive off, while I was waiting on my f****** doorstep and didn't see anybody!!!!! Called the number on the email and the lady said it was my fault because i did not respond to the driver's email or phone call... I DID NOT GET ANY MAIL OR CALL!!!!! Asked for a refund then told me it was not possible because I did not answer, YOUR F****** DRIVER DID NOT PUT ANY EFFORT INTO FINDING THE RIGHT PLACE!!!! Gave me a 20€ voucher for a f****** 30€ order... F*** this!",1,"That a f****** cap company! I ordered food in Montpellier and I was waiting downstairs for the delivery guy. Saw some people riding on their bites but had no idea one of them had my order (I cannot know that). Saw the guy on the trace waiting 2 blocks away no movement on the trace. After some time I received a mail that the guy was at my door and would wait 5 more minutes and then he would drive off, while I was waiting on my f****** footstep and didn't see anybody!!!!! Called the number on the email and the lady said it was my fault because i did not respond to the driver's email or phone call... I DID NOT GET ANY MAIL of CALL!!!!! Asked for a refund then told me it was not possible because I did not answer, YOUR F****** DRIVER DID NOT PUT ANY EFFORT INTO FINDING THE RIGHT PLACE!!!! Have me a 20€ voucher for a f****** 30€ order... F*** this!"
12,Just Eat,2 orders were cancelled in the same…,2 orders were cancelled in the same day. they refunded one of them and didn't do for the other one. I will never use this app again. bad customer service,1,2 orders were canceled in the same day. they refused one of them and didn't do for the other one. I will never use this pp again. bad customer service
13,Just Eat,I give two stars,"Ordered a pizza, the money was taken from my bank account, but the restaurant received the order after one hour.Waited two hour and eventually got my pizza. First time and last one !",2,"Ordered a penza, the money was taken from my bank account, but the restaurant received the order after one hour.Waited two hour and eventually got my penza. First time and last one !"
14,Just Eat,Just thieves and liars,"Just thieves and liarsOrdered food that never came. Since December I have been on their case to refund my money and they keep giving the same nonsense. Their apparent investigation team will get back to me in 48 hours. Never happened. As soon as I get my refund I'm closing my account. Don't put your money into Just Thieves. They genuinely don't care and intentionally make it difficult to get through to customer services, probably because of the negative calls they know they will get! Its a shame we can't give a minus rating",1,"Must thieves and liarsOrdered food that never came. Since December I have been on their case to refund my money and they keep giving the same nonsense. Their apparent investigation team will get back to me in 48 hours. Never happened. Is soon as I get my refund I'm closing my account. On't put your money into Must Thieves. They genuinely don't care and intentionally make it difficult to get through to customer services, probably because of the negative calls they know they will get! Its a shame we can't give a minus rating"
15,Just Eat,First Time using juste eat,First Time using the service and nothing was delivered after being 2hours of wait i decided to forget about feeding myself .,1,First Time using the service and nothing was delivered after being hours of wait i decided to forget about feeding myself .
16,Just Eat,Having purchased a gift card and not provided funds,Having purchased a gift card and attempted to order food Just eat advised I had already redeemed the voucher. Provided proof of no orders and would not give a refund and accused me of lying and had allowed someone else to use the voucher. No food and just gave them £15 that they won't refund or they have sent to someone else account by mistake. Data breach!!! don't use website as you have no idea where your details and money is being sent to!!,1,Having purchased a gift card and attempted to order food Must eat advised I had already redeemed the voucher. Provided proof of no orders and would not give a refund and accused me of lying and had allowed someone else to use the voucher. To food and just gave them £15 that they won't refund or they have sent to someone else account by mistake. Data breach!!! don't use webster as you have no idea where your details and money is being sent to!!
17,Just Eat,Terrible service and food never arrived,"Ordered food at 6pm. App kept updating the expected delivery time and saying it wasnt assigned to a driver. Then did get assigned around 7.30pm. We called the restaurant and they were lovely, said they have issues all the time with Just Eat and they're gonna complain too - even offered a full refund and food free of charge. Called Just Eat 3 times and have had probably worst customer service from any business ever - out of the 3 times I called, they hung up twice after I gave my order number (the same agent both times) and then the third agent helped and gave £5 credit. I requested £15 goodwill instead and the agent declined so I asked to speak to a manager. They ignored my request and just asked if there anything else they could do(?) I said again I wanted to speak to a manager; at that point the line went silent for 15 mins, so in the end I hung up. Eventually got through to someone on online chat (at 9pm - 3 hrs after we made the order) who repeated to me that the order was never assigned and would I like a refund. They kept using this canned response when I asked more questions. Eventually I agreed to cancel the order. My sister also spoke to someone who said we will get manager callback within 24 hours but I have no faith.",1,"Ordered food at pm. Pp kept dating the expected delivery time and saying it want assigned to a driver. When did get assigned around 7.pm. He called the restaurant and they were lovely, said they have issues all the time with Must At and they're donna complain too - even offered a full refund and food free of charge. Called Must At 3 times and have had probably worst customer service from any business ever - out of the 3 times I called, they hung up twice after I gave my order number (the same agent both times) and then the third agent helped and gave £5 credit. I requested £15 goodwill instead and the agent declined so I asked to speak to a manager. They ignored my request and just asked if there anything else they could do(?) I said again I wanted to speak to a manager; at that point the line went silent for 15 mind, so in the end I hung up. Eventually got through to someone on online chat (at pm - 3 his after we made the order) who repeated to me that the order was never assigned and would I like a refund. They kept using this canned response when I asked more questions. Eventually I agreed to cancel the order. By sister also spoke to someone who said we will get manager callback within 24 hours but I have no faith."
18,Just Eat,Poor service,"This is the second time that I've placed an order through JustEat, and it was never delivered. Poor service.I highly do not recommend.",1,"His is the second time that I've placed an order through JustEat, and it was never delivered. Door service.I highly do not recommend."
19,Just Eat,Just terrible,"Just terrible. Order arrived after almost 2 hours. The fish was old and reheated, the chicken was old too and smelt funny- it was dispicable and the plantain were the worst I have ever eaten. We literally ate the rice and proceeded to delete this experience from our memories.never again",1,"Must terrible. Order arrived after almost 2 hours. The fish was old and repeated, the chicken was old too and smelt funny- it was despicable and the planting were the worst I have ever eaten. He literally ate the rice and proceeded to delete this experience from our memories.never again"
20,Just Eat,Rude customer service.,"Okay long story short, last night i ordered online from pizza time's a menu pizza for 39euros. In this menu i had to choose 2 pizzas and a drink. I did choose my pizzas but i couldn't choose the drink as it was only a specific one. I got a message on my phone that the order would be here at a specific time. In the website it says 30 to 45mins and i got my food after more than an hour and it was cold plus with out my drink so i decided to call and let them know. As i did call, the woman on the phone was rude, didn't let me talk so i had to raise my voice a bit so she would stop talking. At the end she made it clear that it was my fault and that they take no responsibilities which is absolutely unprofessional and that made me not want to order from them again. So all i wanted to say in this message is that when i get this kind of behavior even if it was my fault (which it wasn't), i get so upset because this is not how it should work. Where is the respect to the customers? Politeness ZERO.PS: The delivery boy came back to bring me the drink and both ways he was absolutely kind and apologized more than 3 times and it wasn't really his fault.",1,"Okay long story short, last night i ordered online from penza time's a menu penza for 39euros. In this menu i had to choose 2 pizzas and a drink. I did choose my pizzas but i couldn't choose the drink as it was only a specific one. I got a message on my phone that the order would be here at a specific time. In the webster it says 30 to 45mins and i got my food after more than an hour and it was cold plus with out my drink so i decided to call and let them know. Is i did call, the woman on the phone was rude, didn't let me talk so i had to raise my voice a bit so she would stop talking. It the end she made it clear that it was my fault and that they take no responsibilities which is absolutely professional and that made me not want to order from them again. To all i wanted to say in this message is that when i get this kind of behavior even if it was my fault (which it wasn't), i get so upset because this is not how it should work. There is the respect to the customers? Politeness ZERO.of: The delivery boy came back to bring me the drink and both ways he was absolutely kind and apologized more than 3 times and it wasn't really his fault."
21,Just Eat,The driver came 2 min before then the…,The driver came 2 min before then the internet track dont let me know then he call me do the time I reply He left and said will don't back I let the customer service know that and they just say sorry for that I loose 15£ and 1 hour for nothing.,1,The driver came 2 min before then the internet track dont let me know then he call me do the time I reply He left and said will don't back I let the customer service know that and they just say sorry for that I loose 15£ and 1 hour for nothing.
22,Just Eat,Paid extra for cheddar and American…,Paid extra for cheddar and American cheese slices and it came with NO cheese AT ALL,1,Said extra for chekmar and American cheese slices and it came with of cheese of ALL
23,Just Eat,Unfortunately bad experience because of…,"Unfortunately bad experience because of the Delivery person. In what world when you order for delivery, do you get yelled at by the delivery person for not coming down to open the door for him so that he doesnt have to leave his bike unattended??..GET IT TOGETHEER, If I wanted pick up service i would have gone to the restaurant myself. Sauce for bobun and ravioli not included?",3,"Unfortunately bad experience because of the Delivery person. In what world when you order for delivery, do you get yelled at by the delivery person for not coming down to open the door for him so that he doesn have to leave his bike unattended??..GET of TOGETHEER, Of I wanted pick up service i would have gone to the restaurant myself. Sauce for begun and ravioli not included?"
24,Just Eat,Ignored order sometimes,"Not rare to have an ignored order. one hour later, I called them and they told me the restaurant can’t prepare your food we will cancel it bey!!!",2,"Not rare to have an ignored order. one hour later, I called them and they told me the restaurant can’t prepare your food we will cancel it by!!!"
25,Just Eat,very good,very good service,3,very good service
26,Just Eat,Prompt & Trustworthy,"The platform is easy to order, fluid and the delivery is always prompt. A huge relief to the suburbs of Paris that doesn't have any other food aggregators.",5,"The platform is easy to order, fluid and the delivery is always prompt. A huge relief to the suburbs of Paris that doesn't have any other food aggregations."
27,Just Eat,Improvement required,"Website stated 45 - 60 minutes delivery time. Waited for over 90 minutes. The pizza was cold, Jalpenso and fries were soaked with condensation from the box. Thrown most of it away. Very disappointing.",1,"Website stated 45 - 60 minutes delivery time. Waited for over 90 minutes. The penza was cold, Jalpenso and fires were soaked with condensation from the box. Thrown most of it away. Very disappointing."
28,Just Eat,Very convenient app! :D,"So far, so good! Thanks for creating this very good app! :D",5,"To far, so good! Thanks for creating this very good pp! :D"
29,Just Eat,This site is a cheating site,"This site is a cheating site！We made a order on line,but the livisaion was never coming！While the money was token by bank！",1,"His site is a cheating site！He made a order on line,but the division was never coming！While the money was token by bank！"
30,Just Eat,Awful client service,Awful client service. Can't give me my money back for the order I haven't received. NOT RECOMEND,1,Awful client service. An't give me my money back for the order I haven't received. NOT RECOMEND
31,Just Eat,You need to include internation numbers,"We moved to France for a half a year and we wanted to make use of ALLO RESTO. We have used Just Eat in the UK and it works fine.Unfortunately, ALLO RESTO does not allow you to put in international numbers. Therefor, we cannot put in our own UK mobile numbers into the checkout page and so we have to hope the delivery people don't have any problems with our order because they won't be able to contact us.We've already lost one order and had no refund for it.",3,"He moved to France for a half a year and we wanted to make use of ALLO RESTO. He have used Must At in the of and it works fine.Unfortunately, ALLO RESTO does not allow you to put in international numbers. Therefore, we cannot put in our own of mobile numbers into the checkout page and so we have to hope the delivery people don't have any problems with our order because they won't be able to contact us.He've already lost one order and had no refund for it."
32,Just Eat,Tres bien,C est bon sa The best,5,C est on sa The best
33,Hello Fresh,Love the food,Love the food!  Like getting the right amount of ingredients - my refrigerator is not full of partially used containers like sour cream and cream cheese.,5,Love the food!  Like getting the right amount of ingredient - my refrigerator is not full of partially used container like sour cream and cream cheese.
34,Hello Fresh,It's ok,"They've reduced the packaging and amount of waste ice packs.  Delivery is hit or miss, I've had late or missed deliveries the last few weeks straight.",3,"They've reduced the packing and amount of waste ice packs.  Delivery is hit or miss, I've had late or missed delivered the last few weeks straight."
35,Hello Fresh,Cancel and refund,Vance and refund!!!!!,1,Dance and refund!!!!!
36,Hello Fresh,The meals have all been really good,"The meals have all been really good, definitely had some issues with the packages though, missing items several times .. customer service did not want to issue credits until I was paying full price... I pushed back and was issued a credit.  Once I went to full price the meals are kind of pricey.",4,"The meals have all been really good, definitely had some issues with the packages though, missing items several times .. customer service did not want to issue credits until I was paying full price... I pushed back and was issued a credit.  Once I went to full price the meals are kind of prices."
37,Hello Fresh,Worst delivery service ever,"Well let's see.  First, they cancelled my new service because the person at this address who died three years ago had used it and the address matched.  Then after nearly 45 minutes on chat, they reactivated my account with a shipping date of yesterday.  Today their website asked how I liked the recipes for the food that was delivered yesterday, that wasn't.  I waited 15 minutes for a chat agent to be told that there was an ""unspecified error"" with my order and they'd credit my account.  Which still doesn't get me my food.  If other family members didn't swear by this company I wouldn't be giving them a third chance.",1,"Well let's see.  First, they canceled my new service because the person at this address who died three years ago had used it and the address matched.  When after nearly 45 minutes on chat, they reactivated my account with a shipping date of yesterday.  Today their webster asked how I liked the recipe for the food that was delivered yesterday, that wasn't.  I waited 15 minutes for a chat agent to be told that there was an ""specified error"" with my order and they'd credit my account.  Which still doesn't get me my food.  Of other family members didn't swear by this company I wouldn't be giving them a third chance."
38,Hello Fresh,Rubbish customer service. Not easy to cancel or change,"Used gousto for over a year now. Never had any problems. Swapped to tester hello fresh! Should have never done it!! Awful customer service.  Called up first thing after realising my cut of time for picking meals was for last night and they’ve picked me 3 meals me or my children won’t eat at all, I didn’t want to cancel my week just change the 3 meals. He asked me if I could give the food to someone else, like I can afforded as a single parent to just give my food away 🙃 I’m sure wanting to change my meals the day after the cut of date isn’t that difficult!!! I would understand if it was so close to my delivery day. Or at least cancel the box from coming to me so I could at least use the money to buy food this week that we WILL eat.  Cancelled my subscription straight away over the phone and won’t be using hello fresh again. Awful with helping I would understand if this was a repetitive problem but this was the FIRST time using this service and mistakes happen. Also with gousto they send reminder emails and notifications so it’s pretty hard to miss your cut of date! Hello fresh sends nothing. Not happy😤",1,"Used gusto for over a year now. Never had any problems. Wrapped to tested hello fresh! Should have never done it!! Awful customer service.  Called up first thing after realising my cut of time for picking meals was for last night and they’ve picked me 3 meals me or my children won’t eat at all, I didn’t want to cancel my week just change the 3 meals. He asked me if I could give the food to someone else, like I can afforded as a single parent to just give my food away 🙃 I’m sure wanting to change my meals the day after the cut of date isn’t that difficult!!! I would understand if it was so close to my delivery day. Or at least cancel the box from coming to me so I could at least use the money to buy food this week that we WILL eat.  Canceled my subscription straight away over the phone and won’t be using hello fresh again. Awful with helping I would understand if this was a repetition problem but this was the FIRST time using this service and mistakes happen. Also with gusto they send reminder email and modifications so it’s pretty hard to miss your cut of date! Hello fresh sends nothing. Not happy😤"
39,Hello Fresh,Horrible I called to cancel the box…,Horrible I called to cancel the box before it had even shipped and they refused to cancel it still over a week and I have not received the box. 📦 I’ll never use it again,1,Horrible I called to cancel the box before it had even shipped and they refused to cancel it still over a week and I have not received the box. 📦 I’ll never use it again
40,Hello Fresh,I don't have to think about what to…,I don't have to think about what to make for dinner,5,I don't have to think about what to make for dinner
41,Hello Fresh,They Don't Disclose Shipping,"They never disclosed full pricing towards shipping. I wasn't charged shipping initially, so when I noticed more money coming out than it should, I checked my invoices. When I saw that there was additional shipping added and tried to speak with a chat associate, I was basically told that I couldn't do math. They actually typed ""$6.99×2=$13.98"" which was referring to a meal option when my question was about the shipping price. So now I've been insulted and still didn't have the information I was looking for. I've also yet to be refunded for a canceled box. It's been an abysmal experience.",1,"They never disclosed full pricking towards shipping. I wasn't charged shipping initially, so when I noticed more money coming out than it should, I checked my voices. When I saw that there was additional shipping added and tried to speak with a chat associate, I was basically told that I couldn't do path. They actually type ""$6.99×2=$13.98"" which was referring to a meal option when my question was about the shipping price. To now I've been insulted and still didn't have the information I was looking for. I've also yet to be refused for a canceled box. It's been an abysmal experience."
42,Hello Fresh,terrible customer service,"We have been continuously disappointed with items. You have not sent the breakfast items, offered me a refund but then took it away, not sent my free dessert, and removed my discount when you weren’t supposed to.",2,"He have been continuously disappointed with items. You have not sent the breakfast items, offered me a refund but then took it away, not sent my free dessert, and removed my discount when you weren’t supposed to."
43,Hello Fresh,I forgot to review the menu so…,I forgot to review the menu so HelloFresh sent their selections and they were all tasty.,5,I forgot to review the menu so HelloFresh sent their selections and they were all taste.
44,Hello Fresh,Health,Fresh foods,5,Fresh foods
45,Hello Fresh,Food is not healthy and is expensive…,Food is not healthy and is expensive for small program,2,Good is not healthy and is expensive for small program
46,Hello Fresh,They don't have a good variety of…,They don't have a good variety of products,3,They don't have a good variety of products
47,Hello Fresh,Hello Fresh is great way to help me eat…,Hello Fresh is great way to help me eat better. All recipies have been easy and none was too involved. Great flavors too. I don't like to cook a lot so it's nice having leftovers. A meal for 2 people gives me 2 to 3 meals.,4,Hello Fresh is great way to help me eat better. All recipients have been easy and none was too involved. Great favors too. I don't like to cook a lot so it's nice having leftovers. A meal for 2 people gives me 2 to 3 meals.
48,Hello Fresh,Easy to make,Easy to follow meals and they taste delicious.,5,Easy to follow meals and they taste delicious.
49,Hello Fresh,We loved everything we had,We loved everything we had. Everything is on one package. I think it’s an amazing food delivery.,5,He loved everything we had. Everything is on one package. I think it’s an amazing food delivery.
50,Hello Fresh,Always amazing,Always great easy to make delicious recipes and enough for my family,5,Always great easy to make delicious recipe and enough for my family
51,Hello Fresh,My wife thanked me!,"With my wife’s work schedule and my work from  home with a 7 month old baby, anything to make her life easier is what I did.Thank you!",5,"With my wife’s work schedule and my work from  home with a 7 month old baby, anything to make her life easier is what I did.Thank you!"
52,Hello Fresh,Untimely,"I understand the weather was a deterrent to deliver this week but my order from pickup to delivery was 57 hrs and 45 mins. Generally my order arrives between 6:30-7:00pm, too late to start cooking anything. I’ve reduced my meals to 3 and thinking changing my delivery date.",3,"I understand the weather was a deterred to deliver this week but my order from picked to delivery was 57 his and 45 mind. Generally my order arrives between 6:30-7:pm, too late to start cooking anything. I’ve reduced my meals to 3 and thinking changing my delivery date."
53,Hello Fresh,I lobe the recthough. The recipe and quality of food s and the quality of…,I lobe the recipes and the quality of the food delivered.  The delivery process is great as well but if you have problems with an order customer service leaves much to be desires and that is truly why I can't give them a 5 star rating. I have had to call several times and was disappointed each time. They offer false promises but Don ever resolve anything. So when it works it works well but remember it doesn't it's just a loss for that month. Stull netter for your time and money in the lo g run thiugh.,4,I love the recipe and the quality of the food delivered.  The delivery process is great as well but if you have problems with an order customer service leaves much to be desires and that is truly why I can't give them a 5 star rating. I have had to call several times and was disappointed each time. They offer false promises but On ever resolve anything. To when it works it works well but remember it doesn't it's just a loss for that month. Still letter for your time and money in the lo g run though.
54,Hello Fresh,Consistent!!!,The company delivers what it says it is going to deliver.  The product is extremely fresh and very good…consistently.,5,The company delivers what it says it is going to deliver.  The product is extremely fresh and very good…consistently.
55,Hello Fresh,Great experience,On time delivery; Fresh ingredients; Easy step by step instructions; delicious meals.,5,In time delivery; Fresh ingredient; Easy step by step instructions; delicious meals.
56,Hello Fresh,Makes life easier!,"The recipes are always delicious and the customer service is great! Our box was delayed and they comped it. Great food, great service! I look forward to making our meals each week, which is new for me as I typically don't enjoy cooking. It makes my life easier and allows me to maintain a healthy diet with a 1.5 year old and a busy schedule!",5,"The recipe are always delicious and the customer service is great! Our box was delayed and they compel it. Great food, great service! I look forward to making our meals each week, which is new for me as I typically don't enjoy cooking. It makes my life easier and allows me to maintain a healthy diet with a 1.5 year old and a busy schedule!"
57,Hello Fresh,Definitely Worth a try!,"I think the whole concept is amazing. It helps so much by saving me time, and less aggravation than going food shopping. You Have large variety of meal options.  Some of the meals are a little too expensive but there are cheaper options just as delicious. The only thing I don't like for me is you have to pay week to week. I wish there was a monthly payment option. Otherwise than that I am loving it!",5,"I think the whole concept is amazing. It helps so much by saving me time, and less aggravation than going food shopping. You Have large variety of meal option.  Some of the meals are a little too expensive but there are cheaper option just as delicious. The only thing I don't like for me is you have to pay week to week. I wish there was a monthly payment option. Otherwise than that I am loving it!"
58,Hello Fresh,We love hellofresh,"We love hellofresh, always excited to get our meals! Just wish there was more seasoning used at times.",4,"He love hellofresh, always excited to get our meals! Must wish there was more reasoning used at times."
59,Hello Fresh,Very good recipes to make,"Very good recipes to make , they are easy and fast to make even when you don’t think they’re gonna be good they’re really good.Must try",5,"Very good recipe to make , they are easy and fast to make even when you don’t think they’re donna be good they’re really good.Must try"
60,Hello Fresh,I have been missing parts of my meals,"I have been missing parts of my meals, especially the main course, BEEF TENDERLOIN, and have had to spend almost an hour to get credit for that meal and than I have had so spend almost another hour trying to get credit for offers your company offered.  I'm getting tired of these problems and if it happens again, I will no longer be ordering meals from your company.",2,"I have been missing parts of my meals, especially the main course, BEEF TENDERLOIN, and have had to spend almost an hour to get credit for that meal and than I have had so spend almost another hour trying to get credit for offers your company offered.  I'm getting tired of these problems and if it happens again, I will no longer be ordering meals from your company."
61,Hello Fresh,I have unsuccessfully tried to…,I have unsuccessfully tried to canceling this order. My food is delivered at an inconvenient time and is completely thawed when I arrive home.  Please cancel this account!,1,I have successfully tried to concealing this order. By food is delivered at an inconvenient time and is completely showed when I arrive home.  Please cancel this account!
62,Hello Fresh,Pretty good service with some flaws,"The food is good. The delivery method is good because all food is still cold when it arrives. I would suggest an option where we send the ice packs back for a delivery discount or something.  It's such a waste to throw them away and a family can only use so many ice packs. Also, the price isn't terrible but they need to do better with maintaining discount codes and pricing. I've had many deliveries come at different prices. It's frustrating. Every now and then an item will be missing from the packages, usually not a big deal but can be inconvenient. It's happened to my family more than 5 times out of 19 boxes. At least 3 of our boxes had rotten veggies in it too. In general, the service is good. There are just a few kinks to work out to get closer to perfect.",4,"The food is good. The delivery method is good because all food is still cold when it arrives. I would suggest an option where we send the ice packs back for a delivery discount or something.  It's such a waste to throw them away and a family can only use so many ice packs. Also, the price isn't terrible but they need to do better with maintaining discount codes and pricking. I've had many delivered come at different prices. It's frustration. Very now and then an item will be missing from the packages, usually not a big deal but can be inconvenient. It's happened to my family more than 5 times out of 19 boxes. It least 3 of our boxes had rotten veggies in it too. In general, the service is good. There are just a few kinds to work out to get closer to perfect."
63,Hello Fresh,Food is always great and fresh,Food is always great and fresh. Delivered on time.,5,Good is always great and fresh. Delivered on time.
64,Hello Fresh,The ordering was easy,The ordering was easy. The recipes are absolutely delicious. They were easy to make and the portions were just enough. I also get to taste meals I otherwise may have never tried.,5,The ordering was easy. The recipe are absolutely delicious. They were easy to make and the portions were just enough. I also get to taste meals I otherwise may have never tried.
65,Hello Fresh,Waiting on my delivery to…,Waiting on my delivery to arrivein2'more days Will purchase more items in near future.Carol Winston,5,Waiting on my delivery to arriving'more days Will purchase more items in near future.Baron Winston
66,Hello Fresh,This service is perfect,This service is perfect. I don’t have a lot of time to decide what’s for dinner and it’s great to have delicious meals ready to be made on hand. It also helps with our portion control. Love this!!!,5,His service is perfect. I don’t have a lot of time to decide what’s for dinner and it’s great to have delicious meals ready to be made on hand. It also helps with our portion control. Love this!!!
67,Hello Fresh,We didn’t get our order this week,We didn’t get our order this week. There have been some missing items in the past,3,He didn’t get our order this week. There have been some missing items in the past
68,Hello Fresh,The food is fresh and tastes great,The food is fresh and tastes great. It’s easy to follow the directions and create tastey food.,3,The food is fresh and tastes great. It’s easy to follow the directions and create taste food.
